Price,Make,Model,Year,Style,Fuel,Engine,Distance,Cylinders,Transmission,Drive,Wheel,Color,ID
16621,CHEVROLET,Equinox,2011,Jeep,Petrol,3,192000 km,6.0,Tiptronic,4x4,Left wheel,Black,0
8467,HONDA,FIT,2006,Hatchback,Petrol,1.3,200000 km,4.0,Variator,Front,Right-hand drive,Black,1
11726,HONDA,FIT,2014,Hatchback,Petrol,1.3,91901 km,4.0,Automatic,Front,Left wheel,Silver,2
26657,LEXUS,RX 350,2007,Jeep,Petrol,,128500 km,6.0,Automatic,4x4,Left wheel,Silver,3
8781,FORD,Transit,1999,Microbus,CNG,4,0 km,8.0,Manual,Rear,Left wheel,Blue,4
3000,OPEL,Vectra,1997,Goods wagon,CNG,1.6,350000 km,4.0,Manual,Front,Left wheel,White,5
1019,LEXUS,RX 450,2013,Jeep,Hybrid,3.5,138038 km,6.0,Automatic,Front,Left wheel,White,6
7683,HYUNDAI,Elantra,2016,Sedan,Petrol,1.8,121840 km,4.0,Automatic,Front,Left wheel,Blue,7
549,HYUNDAI,Sonata,2006,Sedan,Petrol,3.3,295059 km,6.0,Automatic,Rear,Left wheel,Blue,8
20698,TOYOTA,Prius,2012,Sedan,Plug-in Hybrid,1.8,187000 km,4.0,Automatic,Front,Left wheel,White,9
17562,TOYOTA,Camry,2017,Sedan,Petrol,2.5,39709 km,4.0,Automatic,Front,Left wheel,Black,10
4704,OPEL,Vectra,1995,Sedan,Petrol,1.8,0 km,4.0,Automatic,Front,Left wheel,Green,11
20385,MERCEDES-BENZ,E 220,2006,Sedan,Diesel,2.2 Turbo,210000 km,4.0,Tiptronic,Rear,Left wheel,Black,12
549,LEXUS,GX 470,2008,Jeep,Petrol,4.7,0 km,8.0,Automatic,4x4,Left wheel,White,13
14454,HYUNDAI,Elantra,2011,Sedan,Petrol,1.6,158787 km,4.0,Automatic,Front,Left wheel,Silver,14
24462,TOYOTA,Camry,2013,Sedan,Petrol,2.4,203200 km,4.0,Automatic,Front,Left wheel,Blue,15
549,PORSCHE,Cayenne,2010,Jeep,Petrol,3.6,160259 km,6.0,Automatic,4x4,Left wheel,Silver,16
12544,TOYOTA,Aqua,2012,Hatchback,Hybrid,1.5,141500 km,4.0,Automatic,Front,Right-hand drive,Black,17
17249,FORD,Escape Hybrid,2008,Jeep,Hybrid,2.3,147000 km,4.0,Variator,4x4,Left wheel,White,18
14583,RENAULT,Megane 1.5CDI,2008,Sedan,Diesel,1.5 Turbo,132542 km,4.0,Manual,Front,Left wheel,White,19
392,MERCEDES-BENZ,E 300,2017,Sedan,Petrol,2,1600 km,4.0,Automatic,Rear,Left wheel,Black,20
8781,MERCEDES-BENZ,C 180,2001,Coupe,Petrol,2,260000 km,4.0,Manual,Rear,Left wheel,Blue,21
87112,MERCEDES-BENZ,GLA 250,2019,Jeep,Petrol,2.0 Turbo,5323 km,4.0,Tiptronic,4x4,Left wheel,Grey,22
